time_positive;time_negative;time_total;max_V_match_fraction
4596449.06;4519675.23;4493086.24;0.0
31119516.69;31113462.96;35846599.54;0.1
45323463.89;44888183.03;51303546.57;0.2
53542037.42;53198452.53;61850394.24;0.3
57725679.94;57574564.17;66447908.38;0.4
57889663.92;59658386.14;68843565.64;0.5
56614245.53;59376612.39;66785762.76;0.6
51386072.22;54361605.95;60405786.73;0.7
42791302;45088085.1;49837766.29;0.8
30285103.85;31206841.31;34775977.48;0.9
4585273.5;4579751.77;4599348.44;1.0
