time_positive;time_negative;time_total;len_T
39002616.07;41211037.81;46426347.04;5000
48506987.05;50252137.88;57009781.09;6000
56614245.53;59376612.39;66785762.76;7000
62863802.18;67351622.26;76047787.75;8000
71013506.28;75223307.65;85047440.78;9000
80349317.13;83115883.24;94971844.9;10000
89551866.4;93393884.29;105351191.07;11000
99440089.15;103060292.52;116872882.86;12000
107880866.55;112173618.51;127538097;13000
112815089.49;120189067.02;134794286.91;14000
121166230.06;130048640.6;145064239.59;15000
