experiment;len_T;len_V;max_V_match_fraction;len_pos_true;len_neg_true;time_all;attack_name;success;len_pos_recovered;len_neg_recovered
T500000V1000000_0.0;500000;1000000;0.0;0;500000;[124367547, 126388674, 116391979, 146041159, 125122804, 145534214, 125845900, 117374250, 114286826, 121073730, 119542703, 148006501, 139067014, 117679362, 137616008, 103479910, 116772213, 146388013, 116943915, 140296347, 137599618, 104737133, 147691357, 105253368, 147238202, 122984920, 119045568, 153585299, 111305813, 106363660, 161735778, 103461218, 151850113, 123437555, 132959698, 113938072, 119054228, 141384409, 115311867, 143812385, 136604517, 120626785, 115073904, 145715855, 125196354, 124739279, 149847151, 104672192, 134339022, 113598719];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000, 500000]
T600000V1000000_0.0;600000;1000000;0.0;0;600000;[123165606, 115855276, 163006993, 151803642, 188132684, 135358505, 142655573, 113268415, 170865317, 166821714, 150022713, 113998194, 141367359, 145028068, 187573369, 148051911, 116407808, 153422669, 130265898, 124995802, 178341398, 135927389, 124668947, 143654873, 136235403, 208337842, 97331253, 180127238, 133643114, 143936975, 122083050, 185859820, 120981168, 151333036, 138987453, 138070393, 158095750, 131465492, 136386265, 170377303, 151612119, 129473980, 125409986, 134919439, 145938438, 124709269, 157424403, 160011910, 109336703, 177014834];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000, 600000]
T700000V1000000_0.0;700000;1000000;0.0;0;700000;[159687201, 167452300, 181427832, 170217671, 165108216, 162439187, 180643763, 185350475, 152194427, 219205611, 144463683, 180009386, 178230397, 167792404, 152746612, 154906214, 158449114, 150829061, 184201362, 178002215, 192515321, 203375738, 161295524, 178671282, 155460122, 152668920, 217382561, 158738136, 160215943, 160057001, 170676926, 202843304, 186899940, 145388182, 182477223, 165293708, 143700195, 140565090, 148924911, 191040416, 147116820, 183455654, 174755660, 181057388, 158932218, 157260641, 160770868, 150968632, 165765932, 167884866];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000, 700000]
T800000V1000000_0.0;800000;1000000;0.0;0;800000;[161265895, 214192587, 154977065, 177015163, 176439357, 157307021, 185180722, 162438127, 198233523, 179813594, 159248372, 183858118, 175151364, 184874778, 199594399, 167823476, 196167441, 169443872, 205831586, 271299503, 168255078, 177475520, 193342950, 174830491, 154873825, 162544408, 188899702, 161267993, 209740957, 242041248, 150327006, 169130379, 176692370, 184651677, 195402112, 195749136, 155667913, 203427490, 185987621, 163058013, 173618457, 161129913, 179860645, 154132956, 148798620, 142481900, 179450401, 185615077, 165182707, 172876970];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000, 800000]
T900000V1000000_0.0;900000;1000000;0.0;0;900000;[167941049, 170667795, 179471811, 153752174, 181954398, 182411752, 185280533, 152173157, 161963821, 205825205, 202429278, 212966223, 184613647, 167911696, 172798069, 171008809, 168900987, 204335329, 248679919, 192599532, 154152726, 188081194, 215356579, 193766595, 162276954, 179251598, 156255819, 160160192, 153569381, 187390596, 193732034, 187622019, 202279578, 218735496, 159386154, 167665743, 176450977, 156202999, 176983814, 165868844, 176621680, 174456256, 171350744, 201515808, 213435697, 181721416, 183926708, 156324791, 146690047, 194621995];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000, 900000]
T1000000V1000000_0.0;1000000;1000000;0.0;0;1000000;[188198092, 197590887, 206436243, 215380579, 202565740, 218118099, 197261662, 191666423, 252433359, 254592433, 210739698, 217677264, 205967988, 188983324, 200031584, 280770646, 278295600, 199425087, 177142865, 227892574, 211245084, 199377125, 219852488, 189775722, 182230910, 226286637, 237738281, 249827970, 212109303, 236959972, 254352191, 180277459, 166667532, 201282586, 197718288, 203851145, 197161992, 209754058, 206212710, 237241895, 243238921, 211844971, 190286867, 209725788, 206936689, 166309749, 167900065, 210650949, 205002387, 185147532];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000, 1000000]
T1100000V1000000_0.0;1100000;1000000;0.0;0;1100000;[185247474, 172371155, 205361982, 200709010, 182975968, 201565489, 245221612, 206304651, 241960357, 256786017, 205426042, 203333229, 184428165, 214014735, 253120317, 252547062, 231709026, 179897214, 186473786, 193430362, 179374721, 187749330, 239370488, 210276493, 236129484, 253024667, 221531175, 168424451, 194425013, 211053893, 207243170, 179774494, 185773780, 186367506, 194737075, 231998628, 218949518, 235574176, 218335300, 164133434, 183298283, 215850934, 201119635, 180569103, 163552839, 189688692, 162710208, 166513556, 195801866, 199154001];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000, 1100000]
T1300000V1000000_0.0;1300000;1000000;0.0;0;1300000;[222512136, 221528716, 203892054, 212511359, 212608539, 220179862, 221095442, 231550563, 195793996, 195501125, 203188807, 201245276, 220459434, 232409044, 225020243, 217524522, 224913062, 213915312, 206215280, 201152976, 230708243, 206929867, 218883358, 204634522, 175690919, 185603976, 185429706, 216639173, 195006638, 211284194, 209089741, 212703641, 203386170, 179188958, 222998911, 203397449, 222853040, 202777123, 192218588, 180867316, 200203415, 199650659, 198935439, 209436690, 200154862, 197155610, 202705868, 206779872, 208261538, 231207500];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000, 1300000]
T1200000V1000000_0.0;1200000;1000000;0.0;0;1200000;[244935248, 256728915, 219846888, 264021614, 271945841, 263857903, 252673332, 278060367, 204895026, 204045565, 227455159, 235372565, 262228256, 216317759, 229599133, 260970733, 218218790, 226502939, 235344175, 266982757, 258369823, 242458492, 211428116, 256869477, 288241248, 213759552, 251157065, 233196271, 209568006, 225316306, 201936354, 184132501, 222374294, 258502995, 199634019, 205525493, 217115178, 232408523, 231929658, 218063317, 214298687, 204482422, 230603154, 242548229, 197910568, 210679344, 212510723, 218465675, 234646936, 256263775];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];[1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000, 1200000]
T500000V1000000_0.1;500000;1000000;0.1;50000;450000;[221560446, 230898557, 163661620, 184956520, 175209994, 204214309, 196747827, 206877047, 204256629, 190000524, 179495981, 182230431, 185500975, 209431874, 220775136, 156526573, 220896898, 212640049, 165392319, 207546424, 227617221, 173185372, 195843268, 182889149, 202645542, 172942050, 199506127, 173407175, 215016995, 189524610, 196179961, 189259357, 175912942, 165542399, 190909254, 199711466, 206036565, 189869194, 198328072, 181446965, 219109883, 171253147, 186080943, 216976030, 179311242, 201416005, 180176082, 233931209, 162027909, 177996208];PSU;[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1];[50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000, 50000];[450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000, 450000]
