time_total;time_positive;time_negative;max_V_match_fraction
319523776.5;319696955.7;318585634.4;0.0
58631170333.34;58653970318.62;58690845953.74;0.1
86717263868.8;86089995045.88;88022070683.68;0.2
103544450565.4;103285508609.2;105922809088.58;0.3
95356563473.6;94825571831.34;95073547007.68;0.4
96587116993.52;96060470127.08;96334728110.54;0.5
117041502161.72;116689500673.62;113905858359.12;0.6
106884950166.74;105608348093.76;93132932041.5;0.7
89611121763.72;88673262652.86;80245188585.78;0.8
40914709960.08;40722209008.02;40709837099.66;0.9
328194570.64;335686190.66;329096141.84;1.0
