timetotal;timepositive;timenegative;max_V_match_fraction
212119117.88;212636039.36;213008024.38;0.0
40657403650.96;40413379941.74;40528616131.52;0.1
60522632859.7;60208939238.48;60874470700.28;0.2
72457252391.96;72137834099.86;74022352175.06;0.3
79454282709.84;78432596742.42;80765156923;0.4
81321542899.3;80459039163.44;82812788969.9;0.5
78112607315.98;77633769544.4;79931225096.54;0.6
72042242130.7;71547184730.56;73513657391.24;0.7
60080108529.8;59557560402.1;60071959313.84;0.8
40897372547.82;40681198823.58;40720156380.66;0.9
216744019.88;217463015.56;217464512.26;1.0
