timetotal;time_positive;timenegative;len_T
51972069788.32;51252732188.76;53212786477.4;5000
62058603794.24;61574762465.16;63722727247.64;6000
72457252391.96;72137834099.86;74022352175.06;7000
82461805602.54;82152398506.64;84197053091.22;8000
92792714134.6;92331542062.96;94308805116.22;9000
103544450565.4;103285508609.2;105922809088.58;10000
121618595574.26;120939987454.56;80527575435.56;11000
131156304019.1;130370540264.74;92804245369.58;12000
141576294511.96;140047516675.06;100668362837.76;13000
149128846815.84;148079595572.6;102917763924.5;14000
158065686607.66;157224552193.36;113073077407.26;15000
