time_total;time_positive;time_negative;len_T
152932792.72;156952188.86;152821946.46;5000
184470593.58;184585290.06;184471064.04;6000
216744019.88;217463015.56;217464512.26;7000
251723611.58;255157765.5;252826792.58;8000
289110733.18;288667021.68;288867011.68;9000
328194570.64;335686190.66;329096141.84;10000
369747179.84;368799690.88;369262631.82;11000
410862160.22;411179959.66;412539548.28;12000
456655102.24;457320272.74;462219901.42;13000
507753018.1;504322556.32;505272787.06;14000
556433374.42;563271470.12;557896212.04;15000
