Baseline;RecordEnumeration;Snake;max_V_match_fraction
57557397.7;437515681.38;100332970.04;0.0
57819238.76;426989509.84;98057197.12;0.1
56829835.8;423037932.4;100104033.98;0.2
58402234.48;428279817.84;101160867.6;0.3
60617976.14;429805451.7;102330608.72;0.4
60492742.08;435191713.34;102977814.26;0.5
60637295.04;432785495.66;103953560.92;0.6
61574201.7;431460578.78;107739124.32;0.7
62438697.58;433543030.56;108968060.14;0.8
63422469.62;438333186.82;110484537.84;0.9
66039221.06;440134092.18;110260738.98;1.0
