Baseline;RecordEnumeration;Snake;len_T
39094782.46;267503624.26;66657190.34;5000
47043070.82;318269561.04;77458050.54;6000
51804751.58;372771648.84;90033993.18;7000
58402234.48;428279817.84;101160867.6;8000
64978229.52;481619824.98;113016479.06;9000
70765067.68;548940036.26;124210738.48;10000
81658068.64;631850278.06;146989031.22;11000
85929538.38;689222184.34;162671639.22;12000
92161258.74;743828237.72;172463035.3;13000
97348930.38;800303247.52;184328272.94;14000
102063301.46;862252909.22;198225073.58;15000
