experiment;len_T;len_V;max_id_rep;max_V_match_fraction;T_path;V_path
T500V1000_0.0;500;1000;1;0.0;T500V1000_0.0_T.csv;T500V1000_0.0_V.csv
T500V1000_0.1;500;1000;1;0.1;T500V1000_0.1_T.csv;T500V1000_0.1_V.csv
T500V1000_0.2;500;1000;1;0.2;T500V1000_0.2_T.csv;T500V1000_0.2_V.csv
T500V1000_0.3;500;1000;1;0.3;T500V1000_0.3_T.csv;T500V1000_0.3_V.csv
T500V1000_0.4;500;1000;1;0.4;T500V1000_0.4_T.csv;T500V1000_0.4_V.csv
T500V1000_0.5;500;1000;1;0.5;T500V1000_0.5_T.csv;T500V1000_0.5_V.csv
T500V1000_0.6;500;1000;1;0.6;T500V1000_0.6_T.csv;T500V1000_0.6_V.csv
T500V1000_0.7;500;1000;1;0.7;T500V1000_0.7_T.csv;T500V1000_0.7_V.csv
T500V1000_0.8;500;1000;1;0.8;T500V1000_0.8_T.csv;T500V1000_0.8_V.csv
T500V1000_0.9;500;1000;1;0.9;T500V1000_0.9_T.csv;T500V1000_0.9_V.csv
T500V1000_1.0;500;1000;1;1.0;T500V1000_1.0_T.csv;T500V1000_1.0_V.csv
T600V1000_0.0;600;1000;1;0.0;T600V1000_0.0_T.csv;T600V1000_0.0_V.csv
T600V1000_0.1;600;1000;1;0.1;T600V1000_0.1_T.csv;T600V1000_0.1_V.csv
T600V1000_0.2;600;1000;1;0.2;T600V1000_0.2_T.csv;T600V1000_0.2_V.csv
T600V1000_0.3;600;1000;1;0.3;T600V1000_0.3_T.csv;T600V1000_0.3_V.csv
T600V1000_0.4;600;1000;1;0.4;T600V1000_0.4_T.csv;T600V1000_0.4_V.csv
T600V1000_0.5;600;1000;1;0.5;T600V1000_0.5_T.csv;T600V1000_0.5_V.csv
T600V1000_0.6;600;1000;1;0.6;T600V1000_0.6_T.csv;T600V1000_0.6_V.csv
T600V1000_0.7;600;1000;1;0.7;T600V1000_0.7_T.csv;T600V1000_0.7_V.csv
T600V1000_0.8;600;1000;1;0.8;T600V1000_0.8_T.csv;T600V1000_0.8_V.csv
T600V1000_0.9;600;1000;1;0.9;T600V1000_0.9_T.csv;T600V1000_0.9_V.csv
T600V1000_1.0;600;1000;1;1.0;T600V1000_1.0_T.csv;T600V1000_1.0_V.csv
T700V1000_0.0;700;1000;1;0.0;T700V1000_0.0_T.csv;T700V1000_0.0_V.csv
