timetotal;timepositive;timenegative;max_V_match_fraction
281239460.6;280151531.3;280957919.7;0.0
52528049176.96;51749813311.58;52145605247.32;0.1
77200914996.46;76905708752.26;77981610134.64;0.2
92792714134.6;92331542062.96;94308805116.22;0.3
101461869262.74;101098628359.94;103460397919.72;0.4
104240014469.34;103557530870;105597341226.64;0.5
102323814610.02;101390309736.32;104240071411.12;0.6
92121284082.42;91735669525.92;93438459456.64;0.7
77936926833.54;77415395751.28;78302146112.02;0.8
52475241732.72;52149539118.34;52670154331.88;0.9
289110733.18;288667021.68;288867011.68;1.0
