time_total;time_positive;time_negative;len_T
147880676.42;148236818.14;148021436.96;5000
180938786.18;180657189.32;180535344.28;6000
212119117.88;212636039.36;213008024.38;7000
244552140.7;243944600.58;244323016.52;8000
281239460.6;280151531.3;280957919.7;9000
319523776.5;319696955.7;318585634.4;10000
353983597.04;355707702.1;354420862.06;11000
397228507.68;397542511.7;398511026.46;12000
438500007.04;435033926.36;440377631.74;13000
491582866.34;489734872.36;491208179.68;14000
546729521.24;538744953.28;538781256.52;15000
