timetotal;time_positive;timenegative;len_T
58725646181.92;57489044079.84;57764325646.46;5000
70234668899.82;69118534986.26;70572279737.66;6000
81321542899.3;80459039163.44;82812788969.9;7000
91889907841.6;92150855135.72;94146749444.34;8000
104240014469.34;103557530870;105597341226.64;9000
96587116993.52;96060470127.08;96334728110.54;10000
133683717240.02;129316383442.8;90078901377.16;11000
148887785076.14;143547921114.22;97407347972.34;12000
157969640511.06;155076009155.34;144262801294.66;13000
167015634714.06;164169897817.24;152222625167.92;14000
177864758014.24;173299562569.52;160100968550.42;15000
