pos0.0_positive;neg0.0_positive;tot0.0_positive;pos0.0_negative;neg0.0_negative;tot0.0_negative;pos0.0_total;neg0.0_total;tot0.0_total;pos0.1_positive;neg0.1_positive;tot0.1_positive;pos0.1_negative;neg0.1_negative;tot0.1_negative;pos0.1_total;neg0.1_total;tot0.1_total;pos0.2_positive;neg0.2_positive;tot0.2_positive;pos0.2_negative;neg0.2_negative;tot0.2_negative;pos0.2_total;neg0.2_total;tot0.2_total;pos0.3_positive;neg0.3_positive;tot0.3_positive;pos0.3_negative;neg0.3_negative;tot0.3_negative;pos0.3_total;neg0.3_total;tot0.3_total;pos0.4_positive;neg0.4_positive;tot0.4_positive;pos0.4_negative;neg0.4_negative;tot0.4_negative;pos0.4_total;neg0.4_total;tot0.4_total;pos0.5_positive;neg0.5_positive;tot0.5_positive;pos0.5_negative;neg0.5_negative;tot0.5_negative;pos0.5_total;neg0.5_total;tot0.5_total;pos0.6_positive;neg0.6_positive;tot0.6_positive;pos0.6_negative;neg0.6_negative;tot0.6_negative;pos0.6_total;neg0.6_total;tot0.6_total;pos0.7_positive;neg0.7_positive;tot0.7_positive;pos0.7_negative;neg0.7_negative;tot0.7_negative;pos0.7_total;neg0.7_total;tot0.7_total;pos0.8_positive;neg0.8_positive;tot0.8_positive;pos0.8_negative;neg0.8_negative;tot0.8_negative;pos0.8_total;neg0.8_total;tot0.8_total;pos0.9_positive;neg0.9_positive;tot0.9_positive;pos0.9_negative;neg0.9_negative;tot0.9_negative;pos0.9_total;neg0.9_total;tot0.9_total;pos1.0_positive;neg1.0_positive;tot1.0_positive;pos1.0_negative;neg1.0_negative;tot1.0_negative;pos1.0_total;neg1.0_total;tot1.0_total;query_budget
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.20184;0.32036444444444445;0.308512;0.28046;0.23531555555555556;0.23983;0.13122;0.22244111111111112;0.213319;0.12965;0.20546625;0.190303;0.188455;0.1498975;0.157609;0.102015;0.1330075;0.126809;0.10767666666666667;0.16565285714285713;0.14826;0.15959;0.12458142857142857;0.135084;0.09332;0.10196857142857142;0.099374;0.1006825;0.146845;0.12838;0.1447875;0.109535;0.123636;0.07249;0.087765;0.081655;0.099992;0.139188;0.11959;0.137284;0.099824;0.118554;0.065562;0.065298;0.06543;0.10927166666666667;0.1451325;0.123616;0.145925;0.100645;0.127813;0.08700833333333333;0.0727875;0.08132;0.12471571428571429;0.15952333333333332;0.135158;0.16528571428571429;0.10787;0.148061;0.10245428571428572;0.09318666666666667;0.099674;0.14894875;0.18786;0.156731;0.20701625;0.12898;0.191409;0.13284375;0.10241;0.126757;0.2334088888888889;0.27939;0.238007;0.32195;0.20049;0.309804;0.22203222222222221;0.13308;0.213137;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;1000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.4213;0.6308777777777778;0.60992;0.56134;0.4855966666666667;0.493171;0.25868;0.4605722222222222;0.440383;0.27562;0.40728125;0.380949;0.3786;0.32013125;0.331825;0.20165;0.28609625;0.269207;0.22238;0.3289457142857143;0.296976;0.3190366666666667;0.2572557142857143;0.27579;0.18577333333333335;0.21283285714285713;0.204715;0.2165475;0.293475;0.262704;0.2929475;0.23398666666666668;0.257571;0.162175;0.18082;0.173362;0.222538;0.286348;0.254443;0.286034;0.222496;0.254265;0.141834;0.143026;0.14243;0.23323666666666668;0.292215;0.256828;0.292695;0.21661;0.262261;0.17931166666666667;0.161975;0.172377;0.2579557142857143;0.31912;0.276305;0.3284642857142857;0.22153333333333333;0.296385;0.2127042857142857;0.18543666666666667;0.204524;0.3201475;0.377905;0.331699;0.40812125;0.275525;0.381602;0.2854225;0.20003;0.268344;0.48606222222222223;0.5612;0.493576;0.6300222222222223;0.41998;0.609018;0.4631088888888889;0.26079;0.442877;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;2000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.6741;0.8912577777777778;0.869542;0.83502;0.7540377777777778;0.762136;0.38255;0.7179277777777778;0.68439;0.42766;0.60585125;0.570213;0.568015;0.48626875;0.502618;0.30096;0.4328825;0.406498;0.33859;0.49129428571428574;0.445483;0.4788366666666667;0.3898642857142857;0.416556;0.27774666666666664;0.32318857142857144;0.309556;0.3275175;0.4404416666666667;0.395272;0.43862;0.353795;0.387725;0.2486575;0.27354833333333334;0.263592;0.337904;0.429488;0.383696;0.429854;0.33715;0.383502;0.229872;0.228998;0.229435;0.3524966666666667;0.4390025;0.387099;0.43945666666666666;0.328785;0.395188;0.27291;0.248805;0.263268;0.3894542857142857;0.47787666666666667;0.415981;0.49011285714285713;0.33807333333333334;0.444501;0.32232428571428573;0.27968333333333334;0.309532;0.48677125;0.568315;0.50308;0.6060875;0.426715;0.570213;0.43409625;0.299965;0.40727;0.7523466666666667;0.83507;0.760619;0.8910422222222222;0.67394;0.869332;0.7178044444444445;0.38216;0.68424;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;3000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.587495;0.7911125;0.750389;0.7524;0.66117375;0.679419;0.396655;0.59280375;0.553574;0.46293;0.6456228571428572;0.590815;0.6350666666666667;0.5257342857142857;0.558534;0.3685233333333333;0.43579142857142855;0.415611;0.444845;0.5837733333333334;0.528202;0.58134;0.47662333333333334;0.51851;0.3300825;0.3724;0.355473;0.457088;0.571814;0.514451;0.573258;0.457382;0.51532;0.329028;0.3326;0.330814;0.4769933333333333;0.58378;0.519708;0.58381;0.4446625;0.528151;0.373975;0.3294;0.356145;0.5257157142857143;0.6350666666666667;0.558521;0.6458442857142858;0.4627133333333333;0.590905;0.43690285714285715;0.36768666666666666;0.416138;0.6598575;0.75173;0.678232;0.7910325;0.58673;0.750172;0.59233875;0.39481;0.552833;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;4000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.81501;0.9436325;0.917908;0.92857;0.8630725;0.876172;0.48299;0.7791475;0.719916;0.6233566666666667;0.7974957142857143;0.745254;0.78514;0.6726328571428571;0.706385;0.45163;0.5631957142857142;0.529726;0.56687;0.7204183333333334;0.658999;0.7226825;0.6056316666666667;0.652452;0.409475;0.4847516666666667;0.454641;0.582306;0.711864;0.647085;0.712456;0.583054;0.647755;0.431984;0.433036;0.43251;0.60522;0.7226375;0.652187;0.7201216666666667;0.5660575;0.658496;0.4828883333333333;0.4115575;0.454356;0.6739042857142857;0.7864233333333334;0.70766;0.7989571428571428;0.62446;0.746608;0.56354;0.45091333333333333;0.529752;0.86376125;0.928895;0.876788;0.94496375;0.818295;0.91963;0.77756125;0.482635;0.718576;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;5000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8177266666666667;0.9295857142857142;0.896028;0.9259066666666667;0.8624142857142857;0.881462;0.53689;0.7336628571428572;0.674631;0.7271;0.8531433333333334;0.802726;0.858775;0.7576033333333333;0.798072;0.5319625;0.5972516666666666;0.571136;0.720448;0.839254;0.779851;0.839752;0.721412;0.780582;0.539568;0.54127;0.540419;0.7571683333333333;0.8580175;0.797508;0.85343;0.72809;0.803294;0.5963766666666667;0.5324325;0.570799;0.8632442857142857;0.9264866666666667;0.882217;0.9305414285714285;0.8194966666666667;0.897228;0.7308828571428572;0.53497;0.672109;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;6000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.950355;0.9842566666666667;0.970696;0.983155;0.9543716666666666;0.965885;0.6316375;0.7542833333333333;0.705225;0.906592;0.961824;0.934208;0.963106;0.909482;0.936294;0.663916;0.661896;0.662906;0.955665;0.983675;0.966869;0.98432;0.950475;0.970782;0.75482;0.63262;0.70594;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;7000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;8000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;9000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;10000
