time_positive;time_negative;time_total;max_V_match_fraction
3959989.53;3910358.75;3971475.71;0.0
25758953.38;26229521.88;29437280.51;0.1
38704130.77;37981546.84;43581057.58;0.2
46043958.8;44417821.79;51653808.27;0.3
49683542.46;50314492.56;57276271.06;0.4
50333313.8;50970711.73;58898520.77;0.5
48506987.05;50252137.88;57009781.09;0.6
42776730.1;46591253.3;50911365.63;0.7
37192382.73;38654977.61;42752565.19;0.8
25805478.42;26638740.41;29670026.1;0.9
3925478.7;3929217.34;3934053.13;1.0
