time_positive;time_negative;time_total;len_T
21192241.36;21412641.48;24270981.01;5000
25758953.38;26229521.88;29437280.51;6000
31119516.69;31113462.96;35846599.54;7000
35539794.51;35410336.38;40610872.6;8000
40085109.07;39941946.43;46221517.89;9000
45512388.46;45140194.68;51512365.78;10000
47859174.7;48677358.22;55563307.29;11000
53431806.58;54114044.75;61031679.67;12000
58365363.3;57666518.34;67266429.64;13000
63028190.65;63231373.6;72046563.78;14000
67292491.96;65690549.97;77064676.73;15000
