Baseline;RecordEnumeration;Snake;max_V_match_fraction
80182060.14;668912650.16;147437656.22;0.0
84410309.62;689874267.86;157353095.8;0.1
84154056.92;688807925.82;161966989.04;0.2
85929538.38;689222184.34;162671639.22;0.3
86797069.88;690741473.56;163661319.16;0.4
90676059;698253798.62;171091189.94;0.5
90295548.64;692555721.84;162232620.34;0.6
91927499.62;692294005.64;171098848.68;0.7
93538150.88;694481867.28;173079161.62;0.8
96278200.16;708752141.84;178428876.08;0.9
91686404.2;682414136.38;162280259.38;1.0
