Baseline;RecordEnumeration;Snake;len_T
45974653.14;284484314.26;73962819.68;5000
52706059.72;336611254.8;86187011.18;6000
58448389.62;389723834.86;94098711.08;7000
66039221.06;440134092.18;110260738.98;8000
72588902.64;508663172.08;122986226.64;9000
78808529.52;565776227.58;136048175.6;10000
85353958.36;624617252.94;144084955.84;11000
91686404.2;682414136.38;162280259.38;12000
97201301.86;741733618.7;173364128.62;13000
103700678.06;802882861.8;186174839.46;14000
110439940.22;857301600.8;198140020.66;15000
