pos0.0_positive;neg0.0_positive;tot0.0_positive;pos0.0_negative;neg0.0_negative;tot0.0_negative;pos0.0_total;neg0.0_total;tot0.0_total;pos0.1_positive;neg0.1_positive;tot0.1_positive;pos0.1_negative;neg0.1_negative;tot0.1_negative;pos0.1_total;neg0.1_total;tot0.1_total;pos0.2_positive;neg0.2_positive;tot0.2_positive;pos0.2_negative;neg0.2_negative;tot0.2_negative;pos0.2_total;neg0.2_total;tot0.2_total;pos0.3_positive;neg0.3_positive;tot0.3_positive;pos0.3_negative;neg0.3_negative;tot0.3_negative;pos0.3_total;neg0.3_total;tot0.3_total;pos0.4_positive;neg0.4_positive;tot0.4_positive;pos0.4_negative;neg0.4_negative;tot0.4_negative;pos0.4_total;neg0.4_total;tot0.4_total;pos0.5_positive;neg0.5_positive;tot0.5_positive;pos0.5_negative;neg0.5_negative;tot0.5_negative;pos0.5_total;neg0.5_total;tot0.5_total;pos0.6_positive;neg0.6_positive;tot0.6_positive;pos0.6_negative;neg0.6_negative;tot0.6_negative;pos0.6_total;neg0.6_total;tot0.6_total;pos0.7_positive;neg0.7_positive;tot0.7_positive;pos0.7_negative;neg0.7_negative;tot0.7_negative;pos0.7_total;neg0.7_total;tot0.7_total;pos0.8_positive;neg0.8_positive;tot0.8_positive;pos0.8_negative;neg0.8_negative;tot0.8_negative;pos0.8_total;neg0.8_total;tot0.8_total;pos0.9_positive;neg0.9_positive;tot0.9_positive;pos0.9_negative;neg0.9_negative;tot0.9_negative;pos0.9_total;neg0.9_total;tot0.9_total;pos1.0_positive;neg1.0_positive;tot1.0_positive;pos1.0_negative;neg1.0_negative;tot1.0_negative;pos1.0_total;neg1.0_total;tot1.0_total;query_budget
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.19976;0.3212888888888889;0.309136;0.27832;0.23078888888888888;0.235542;0.13148;0.21963333333333335;0.210818;0.12705;0.205025;0.18943;0.18611;0.1499075;0.157148;0.10203;0.131575;0.125666;0.10574;0.16336857142857142;0.14608;0.15675333333333333;0.12177428571428571;0.132268;0.09311333333333334;0.10149428571428572;0.09898;0.09886;0.14528333333333332;0.126714;0.142845;0.10832;0.12213;0.069995;0.08749;0.080492;0.098776;0.136592;0.117684;0.138936;0.09956;0.119248;0.066092;0.06484;0.065466;0.10827;0.142865;0.122108;0.14484333333333332;0.098945;0.126484;0.08763333333333333;0.06836;0.079924;0.12300285714285714;0.158;0.133502;0.16420285714285715;0.10625333333333334;0.146818;0.10166285714285714;0.09238;0.098878;0.14771;0.18646;0.15546;0.2037925;0.12552;0.188138;0.1326525;0.10177;0.126476;0.23266666666666666;0.2792;0.23732;0.3173488888888889;0.20152;0.305766;0.21983333333333333;0.13164;0.211014;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;500
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.41784;0.62832;0.607272;0.55952;0.4846111111111111;0.492102;0.26016;0.46079555555555557;0.440732;0.27362;0.4059775;0.379506;0.37705;0.3180725;0.329868;0.19912;0.28648;0.269008;0.22195333333333334;0.32699428571428574;0.295482;0.31728;0.2551428571428571;0.273784;0.18656666666666666;0.21277714285714286;0.204914;0.21601;0.2928633333333333;0.262122;0.29228;0.23135333333333333;0.255724;0.161505;0.17842;0.171654;0.219196;0.282844;0.25102;0.284992;0.219348;0.25217;0.142556;0.143716;0.143136;0.23308;0.29181;0.256572;0.2934466666666667;0.216745;0.262766;0.17996;0.16009;0.172012;0.25562;0.3172933333333333;0.274122;0.3270457142857143;0.22141333333333332;0.295356;0.21318571428571428;0.18512666666666666;0.204768;0.3213725;0.37874;0.332846;0.4063475;0.27464;0.380006;0.28493;0.1979;0.267524;0.4831911111111111;0.55892;0.490764;0.6269466666666667;0.41948;0.6062;0.45746888888888887;0.25788;0.43751;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;1000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;0.67346;0.8902911111111111;0.868608;0.83486;0.7558733333333333;0.763772;0.38398;0.7191155555555555;0.685602;0.42483;0.603055;0.56741;0.56715;0.48658;0.502694;0.29833;0.4336475;0.406584;0.33838666666666667;0.4911714285714286;0.445336;0.47686;0.3881057142857143;0.414732;0.27757333333333334;0.3209885714285714;0.307964;0.32705;0.4373033333333333;0.393202;0.435645;0.35201666666666664;0.385468;0.24604;0.2725633333333333;0.261954;0.332928;0.426088;0.379508;0.427708;0.33394;0.380824;0.22912;0.229592;0.229356;0.3507733333333333;0.43419;0.38414;0.43890666666666667;0.326985;0.394138;0.27175666666666665;0.246595;0.261692;0.38845142857142856;0.47716;0.415064;0.48977714285714286;0.3378466666666667;0.444198;0.3236342857142857;0.27906;0.310262;0.48574;0.5682;0.502232;0.60351;0.42437;0.567682;0.432465;0.30047;0.406066;0.7538711111111112;0.83536;0.76202;0.8914466666666667;0.67488;0.86979;0.7175044444444444;0.38018;0.683772;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;1500
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.58537;0.788835;0.748142;0.75381;0.66309;0.681234;0.39549;0.592835;0.553366;0.46420666666666666;0.6456057142857143;0.591186;0.6326266666666667;0.5247657142857143;0.557124;0.36562666666666666;0.43604571428571426;0.41492;0.44415;0.582;0.52686;0.582615;0.47661333333333333;0.519014;0.329835;0.37312666666666666;0.35581;0.456572;0.570212;0.513392;0.571316;0.456696;0.514006;0.331072;0.329576;0.330324;0.47609666666666667;0.58066;0.517922;0.58387;0.44477;0.52823;0.37278666666666666;0.32821;0.354956;0.5242828571428572;0.63294;0.55688;0.6461828571428572;0.46372;0.591444;0.4358457142857143;0.3709266666666667;0.41637;0.6628025;0.75182;0.680606;0.788655;0.58488;0.7479;0.5943925;0.39984;0.555482;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;2000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.81449;0.9429;0.917218;0.92865;0.863565;0.876582;0.48192;0.7758975;0.717102;0.6239;0.7982428571428571;0.74594;0.7856533333333333;0.6737257142857143;0.707304;0.45228666666666667;0.5628857142857143;0.529706;0.5643;0.71825;0.65667;0.722785;0.60654;0.653038;0.41006;0.48332;0.454016;0.581928;0.710696;0.646312;0.70862;0.580484;0.644552;0.431692;0.432808;0.43225;0.6057466666666667;0.720735;0.651742;0.7199266666666667;0.566835;0.65869;0.48294;0.410045;0.453782;0.6713;0.7839333333333334;0.70509;0.79586;0.6230866666666667;0.744028;0.5639028571428572;0.45138;0.530146;0.8649775;0.92887;0.877756;0.9439525;0.81686;0.918534;0.781165;0.48138;0.721208;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;2500
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.8211266666666667;0.93108;0.898094;0.9264333333333333;0.8644028571428571;0.883012;0.5339533333333333;0.7315971428571428;0.672304;0.72572;0.8515133333333333;0.801196;0.857445;0.75579;0.796452;0.534725;0.5962066666666667;0.571614;0.719292;0.838012;0.778652;0.838848;0.720164;0.779506;0.537764;0.540364;0.539064;0.75838;0.858335;0.798362;0.8530666666666666;0.72653;0.802452;0.59624;0.530965;0.57013;0.8633314285714285;0.9260666666666667;0.882152;0.9305942857142857;0.8210133333333334;0.89772;0.7302028571428572;0.5348;0.671582;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;3000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.94944;0.9835333333333334;0.969896;0.98298;0.95461;0.965958;0.63372;0.7551766666666667;0.706594;0.90766;0.961704;0.934682;0.961852;0.907452;0.934652;0.662896;0.661916;0.662406;0.9535233333333333;0.982645;0.965172;0.9840466666666666;0.95051;0.970632;0.7589866666666667;0.635655;0.709654;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;3500
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;4000
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;4500
1;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1;1.0;1.0;1;1.0;1.0;1;1.0;5000
