time_positive;time_negative;time_total;max_V_match_fraction
5869161.13;5885100.82;5876045.21;0.0
40085109.07;39941946.43;46221517.89;0.1
57850680.27;56738112.25;65805413.14;0.2
68112869.93;67892774.14;77262427.83;0.3
74894004.26;73627121.98;84639790.32;0.4
73355873.5;74468167.32;86775985.95;0.5
71013506.28;75223307.65;85047440.78;0.6
65384445.85;68732412.01;76818531.48;0.7
53858914.68;57276498.56;64603843.44;0.8
37910554.57;39728574.46;44368968.62;0.9
5763459.5;5916251.79;5874901.22;1.0
