time_positive;time_negative;time_total;len_T
37550016.24;36733669.36;42560427.25;5000
46043958.8;44417821.79;51653808.27;6000
53542037.42;53198452.53;61850394.24;7000
60349739.7;60637492.98;69414522.44;8000
68112869.93;67892774.14;77262427.83;9000
77601349.99;76068020.7;87329016.41;10000
84794100.7;81868793.63;95041809.84;11000
94566689.53;90195199.14;106003105.6;12000
101804843.22;98373259.78;115748871.19;13000
107751694.38;107714718.4;123164436.04;14000
115376755.15;116367493.16;133955189.65;15000
