timetotal;timepositive;timenegative;max_V_match_fraction
491582866.34;489734872.36;491208179.68;0.0
83975569296.86;83508999960.3;82003464091.86;0.1
125245807441.22;124771784804.48;113744781108.56;0.2
149128846815.84;148079595572.6;102917763924.5;0.3
164853438537.96;163225192291.94;144974879695.54;0.4
167015634714.06;164169897817.24;152222625167.92;0.5
163034083389.34;160419743817.18;138260572130.16;0.6
148637610682.92;145488910144.86;96757967127.8;0.7
123864555849.74;123124386829.94;113473257686.38;0.8
82717905123.94;81931503911.04;80006479193.46;0.9
507753018.1;504322556.32;505272787.06;1.0
