time_total;time_positive;time_negative;max_V_match_fraction
147880676.42;148236818.14;148021436.96;0.0
29245219912.56;29113557402.64;28944432716.9;0.1
42543278416.36;42286592343.72;42664026177.9;0.2
51972069788.32;51252732188.76;53212786477.4;0.3
55876376018.66;55513743091.98;57590286074.9;0.4
58725646181.92;57489044079.84;57764325646.46;0.5
55419514820.36;55032357498.92;57142773390.92;0.6
51009540152.7;50567131235.88;51897819225.88;0.7
42924419060.78;42766542124.3;43384664676.92;0.8
28541910587.88;28292715805.5;28336223598.98;0.9
152932792.72;156952188.86;152821946.46;1.0
