timetotal;time_positive;timenegative;len_T
29245219912.56;29113557402.64;28944432716.9;5000
35184367196.34;34883686486.3;34869425230.74;6000
40657403650.96;40413379941.74;40528616131.52;7000
46301530578.34;45781408840.92;45946845982.6;8000
52528049176.96;51749813311.58;52145605247.32;9000
58631170333.34;58653970318.62;58690845953.74;10000
69081763069.78;68333999503.8;68017184837.72;11000
73740994458.46;72956519885.94;72265201874.48;12000
79355998623.18;78958753926.6;78664160613.62;13000
83975569296.86;83508999960.3;82003464091.86;14000
90136545630.86;89209576212.08;89443959863.28;15000
