time_total;time_positive;time_negative;len_T
55876376018.66;55513743091.98;57590286074.9;5000
68297317985.98;67828687113.72;71075340976.58;6000
79454282709.84;78432596742.42;80765156923;7000
89149002493.88;89257877011.42;91508136338.8;8000
101461869262.74;101098628359.94;103460397919.72;9000
95356563473.6;94825571831.34;95073547007.68;10000
132338400742.5;130997807156.92;120698122525.46;11000
143435128777.66;140844004940.14;128958888133.18;12000
154172462138.2;152934331275.12;139132910956.6;13000
164853438537.96;163225192291.94;144974879695.54;14000
174037482832.6;171334219720.68;145878119851.26;15000
