timetotal;timepositive;timenegative;len_T
28541910587.88;28292715805.5;28336223598.98;5000
35270878750.92;35239391253.68;35330372671.34;6000
40897372547.82;40681198823.58;40720156380.66;7000
45266453874.9;45042743835.26;45066647712.06;8000
52475241732.72;52149539118.34;52670154331.88;9000
40914709960.08;40722209008.02;40709837099.66;10000
66507686450.2;66177104038.64;65806838859.1;11000
72749135336.22;72193987322.6;70883772272.82;12000
77992721088.16;77487573895.78;76970691367.1;13000
82717905123.94;81931503911.04;80006479193.46;14000
88803197613.28;87580937607.2;87216424757.66;15000
