Baseline;RecordEnumeration;Snake;max_V_match_fraction
70361227.18;553019955.96;123824529.98;0.0
67410700.9;540211156.96;119475064.16;0.1
69141055.76;545115794.86;122811656.28;0.2
70765067.68;548940036.26;124210738.48;0.3
66850163.64;537318455;119475353.74;0.4
66747920.02;541006936.2;122059994.66;0.5
77408994.14;570316071.62;139740632.42;0.6
79102254.1;579842165.24;144168503.58;0.7
81092875.76;584838157.9;144210709.24;0.8
73135748.78;556171156.48;131377214.92;0.9
78808529.52;565776227.58;136048175.6;1.0
