Baseline;RecordEnumeration;Snake;len_T
39955720.64;270772788.44;67442655;5000
47216290.66;323860750.84;77296547.84;6000
52655663.56;376490045.44;91864338.04;7000
60617976.14;429805451.7;102330608.72;8000
67179235.28;481107961.56;114807007.94;9000
66850163.64;537318455;119475353.74;10000
82562150.08;633857656.54;145498298.68;11000
86797069.88;690741473.56;163661319.16;12000
92426816.78;741046019.82;174200206.36;13000
97801050.06;797557834.52;183804626.36;14000
101958894.48;856441799.44;195681731.88;15000
